#i;ra;ec;corners
187;1.800000e+01;-6.000000e+01;[[16.000000, -62.000000], [20.000000,-62.000000], [20.000000,-58.000000], [16.000000, -58.000000]]
188;1.800000e+01;-5.600000e+01;[[16.000000, -58.000000], [20.000000,-58.000000], [20.000000,-54.000000], [16.000000, -54.000000]]
189;1.800000e+01;-5.200000e+01;[[16.000000, -54.000000], [20.000000,-54.000000], [20.000000,-50.000000], [16.000000, -50.000000]]
190;1.800000e+01;-4.800000e+01;[[16.000000, -50.000000], [20.000000,-50.000000], [20.000000,-46.000000], [16.000000, -46.000000]]
191;1.800000e+01;-4.400000e+01;[[16.000000, -46.000000], [20.000000,-46.000000], [20.000000,-42.000000], [16.000000, -42.000000]]
192;1.800000e+01;-4.000000e+01;[[16.000000, -42.000000], [20.000000,-42.000000], [20.000000,-38.000000], [16.000000, -38.000000]]
193;1.800000e+01;-3.600000e+01;[[16.000000, -38.000000], [20.000000,-38.000000], [20.000000,-34.000000], [16.000000, -34.000000]]
194;1.800000e+01;-3.200000e+01;[[16.000000, -34.000000], [20.000000,-34.000000], [20.000000,-30.000000], [16.000000, -30.000000]]
195;1.800000e+01;-2.800000e+01;[[16.000000, -30.000000], [20.000000,-30.000000], [20.000000,-26.000000], [16.000000, -26.000000]]
196;1.800000e+01;-2.400000e+01;[[16.000000, -26.000000], [20.000000,-26.000000], [20.000000,-22.000000], [16.000000, -22.000000]]
197;1.800000e+01;-2.000000e+01;[[16.000000, -22.000000], [20.000000,-22.000000], [20.000000,-18.000000], [16.000000, -18.000000]]
198;1.800000e+01;-1.600000e+01;[[16.000000, -18.000000], [20.000000,-18.000000], [20.000000,-14.000000], [16.000000, -14.000000]]
199;1.800000e+01;-1.200000e+01;[[16.000000, -14.000000], [20.000000,-14.000000], [20.000000,-10.000000], [16.000000, -10.000000]]
200;1.800000e+01;-8.000000e+00;[[16.000000, -10.000000], [20.000000,-10.000000], [20.000000,-6.000000], [16.000000, -6.000000]]
201;1.800000e+01;-4.000000e+00;[[16.000000, -6.000000], [20.000000,-6.000000], [20.000000,-2.000000], [16.000000, -2.000000]]
